"Reference","Value","Datasheet","Footprint","Qty","DNP","Mfg. Part No.","Notes"
"AE1","Antenna","~","MyFootprints:Antenna_Ignion_RunmXtend_NN02-224","1","","NN-02-224","Can send"
"C1","0.7pF","~","Capacitor_SMD:C_0603_1608Metric","1","","GJM0335C1ER70WB01D",""
"C2","0.6pF","~","Capacitor_SMD:C_0603_1608Metric","1","","GRM0335C1HR60BA01D",""
"C3","1.5pF","~","Capacitor_SMD:C_0603_1608Metric","1","","CBR06C159B5GAC",""
"J1","u.FL","~","Connector_Coaxial:U.FL_Molex_MCRF_73412-0110_Vertical","1","","0734120110",""
"L1","19nH","~","Inductor_SMD:L_0603_1608Metric","1","","LQW18AN19NJ80D",""
"L2","4nH","~","Inductor_SMD:L_0402_1005Metric","1","","MHQ0402PSA4N0BT000",""
"L3","12nH","~","Inductor_SMD:L_0603_1608Metric","1","","LQW18AN12NG10D",""
"L4","4.7nH or 4.5nH","~","Inductor_SMD:L_0402_1005Metric","1","","lqw15an4n5b00d",""
