"Reference","Value","Qty","DNP","Mfg. Name","Mfg. Part No.","Notes"
"AE1","Ignion Trio mXtend","1","","Ignion","NN03-310","Can send."
"C1,C2,C3,C4","47pF/50V","4","","Murata","GRM1555C1H470JA01D",""
"C5,C44,C45",".1uF/16V","3","","Kemet","C0402C104K4RACTU",""
"C6","2.1pF","1","","Murata","GJM1555C1H2R1BB01D",""
"C7",".7pF","1","","Murata","GJM1555C1HR70BB01D",""
"C8",".5pF","1","","Walsin","0402N8R2D500CT",""
"C9",".4pF","1","","Murata","GJM1555C1HR40WB01D",""
"D1,D2,D3,D4","D_TVS","4","","Littelfuse","PESD0402-140",""
"D6,D7","1N4148","2","","Diodes Incorporated"," 1N4148W-13-F",""
"FID1,FID2,FID3,FID4,FID5,FID6","Fiducial","6","","","",""
"J1","Conn_Coaxial","1","","Molex","0734120110",""
"J2","SIM","1","","JAE","SF7W006S1AR1000","Will send."
"J3,J6","Conn_01x12","2","","Samtec","FLE-106-01-G-DV-P-TR",""
"J7","Micro_SD_Card_Det","1","","GCT","MEM2061-01-188-00-A",""
"K1","EE2-3TNU-L","1","","Kemet","EE2-3TNU ",""
"L1","2.4nH","1","","TE","2-2176075-4",""
"L2","12nH","1","","Murata","LQW18AN12NG00D",""
"L3","9nH","1","","Murata","LQW15AN9N0G80",""
"L4","9.1nH","1","","Murata","LQW18AN9N1C00D",""
"LOGO1","Logo1","1","","","",""
"LOGO2","Logo2","1","","","",""
"R31,R32,R33","100k","3","","TE","CRG0603F100K",""
"R34","10k","1","","TE","CRG0603J10K",""
"U11","TXB0104D","1","","TI","TXB0104D",""
